"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Estructura_domicili","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Una dona sola de 18 a 64 anys",1741
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Una dona sola de 18 a 64 anys",869
2020,1,"Ciutat Vella",3,"la Barceloneta","Una dona sola de 18 a 64 anys",943
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Una dona sola de 18 a 64 anys",1436
2020,2,"Eixample",5,"el Fort Pienc","Una dona sola de 18 a 64 anys",1107
2020,2,"Eixample",6,"la Sagrada Família","Una dona sola de 18 a 64 anys",2142
2020,2,"Eixample",7,"la Dreta de l'Eixample","Una dona sola de 18 a 64 anys",1942
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Una dona sola de 18 a 64 anys",1937
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Una dona sola de 18 a 64 anys",2240
2020,2,"Eixample",10,"Sant Antoni","Una dona sola de 18 a 64 anys",1473
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Una dona sola de 18 a 64 anys",1718
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Una dona sola de 18 a 64 anys",41
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Una dona sola de 18 a 64 anys",781
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Una dona sola de 18 a 64 anys",368
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Una dona sola de 18 a 64 anys",750
2020,3,"Sants-Montjuïc",16,"la Bordeta","Una dona sola de 18 a 64 anys",599
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Una dona sola de 18 a 64 anys",901
2020,3,"Sants-Montjuïc",18,"Sants","Una dona sola de 18 a 64 anys",1779
2020,4,"Les Corts",19,"les Corts","Una dona sola de 18 a 64 anys",1580
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Una dona sola de 18 a 64 anys",689
2020,4,"Les Corts",21,"Pedralbes","Una dona sola de 18 a 64 anys",233
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Una dona sola de 18 a 64 anys",96
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Una dona sola de 18 a 64 anys",651
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Una dona sola de 18 a 64 anys",337
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Una dona sola de 18 a 64 anys",712
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Una dona sola de 18 a 64 anys",1590
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Una dona sola de 18 a 64 anys",1200
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Una dona sola de 18 a 64 anys",538
2020,6,"Gràcia",29,"el Coll","Una dona sola de 18 a 64 anys",293
2020,6,"Gràcia",30,"la Salut","Una dona sola de 18 a 64 anys",473
2020,6,"Gràcia",31,"la Vila de Gràcia","Una dona sola de 18 a 64 anys",3202
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Una dona sola de 18 a 64 anys",1543
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Una dona sola de 18 a 64 anys",918
