"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona",22300
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona",8674
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona",7613
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona",11547
2020,2,"Eixample",5,"el Fort Pienc","Dona",17455
2020,2,"Eixample",6,"la Sagrada Família","Dona",28225
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona",23662
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona",22910
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona",31392
2020,2,"Eixample",10,"Sant Antoni","Dona",20412
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona",20420
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona",594
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona",16302
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona",5476
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona",8467
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona",10273
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona",13270
2020,3,"Sants-Montjuïc",18,"Sants","Dona",22667
2020,4,"Les Corts",19,"les Corts","Dona",25038
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona",12805
2020,4,"Les Corts",21,"Pedralbes","Dona",6359
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona",2381
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona",13469
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona",8841
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona",14132
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona",26358
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona",16498
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona",8591
2020,6,"Gràcia",29,"el Coll","Dona",4063
2020,6,"Gràcia",30,"la Salut","Dona",7253
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona",27736
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona",19183
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona",14083
2020,7,"Horta-Guinardó",34,"Can Baró","Dona",4908
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona",19991
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona",5023
2020,7,"Horta-Guinardó",37,"el Carmel","Dona",17051
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona",6212
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona",3992
2020,7,"Horta-Guinardó",40,"Montbau","Dona",2872
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona",3140
2020,7,"Horta-Guinardó",42,"la Clota","Dona",344
2020,7,"Horta-Guinardó",43,"Horta","Dona",15116
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona",14109
2020,8,"Nou Barris",45,"Porta","Dona",14799
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona",8702
2020,8,"Nou Barris",47,"Can Peguera","Dona",1186
2020,8,"Nou Barris",48,"la Guineueta","Dona",8303
2020,8,"Nou Barris",49,"Canyelles","Dona",3620
2020,8,"Nou Barris",50,"les Roquetes","Dona",8516
2020,8,"Nou Barris",51,"Verdun","Dona",6832
2020,8,"Nou Barris",52,"la Prosperitat","Dona",14357
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona",4017
2020,8,"Nou Barris",54,"Torre Baró","Dona",1467
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona",5675
2020,8,"Nou Barris",56,"Vallbona","Dona",735
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona",5143
2020,9,"Sant Andreu",58,"Baró de Viver","Dona",1346
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona",6833
2020,9,"Sant Andreu",60,"Sant Andreu","Dona",30894
2020,9,"Sant Andreu",61,"la Sagrera","Dona",15705
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona",7846
2020,9,"Sant Andreu",63,"Navas","Dona",11971
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona",20894
2020,10,"Sant Martí",65,"el Clot","Dona",14121
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona",8211
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona",4787
2020,10,"Sant Martí",68,"el Poblenou","Dona",17728
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona",6952
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona",12280
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona",11180
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona",13945
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona",15171
2020,1,"Ciutat Vella",1,"el Raval","Home",25963
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Home",13041
2020,1,"Ciutat Vella",3,"la Barceloneta","Home",7499
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",11694
2020,2,"Eixample",5,"el Fort Pienc","Home",15914
2020,2,"Eixample",6,"la Sagrada Família","Home",24020
2020,2,"Eixample",7,"la Dreta de l'Eixample","Home",20663
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",20318
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",27229
2020,2,"Eixample",10,"Sant Antoni","Home",18494
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Home",19737
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",633
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Home",15050
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",4901
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Home",7736
2020,3,"Sants-Montjuïc",16,"la Bordeta","Home",9294
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Home",11668
2020,3,"Sants-Montjuïc",18,"Sants","Home",21096
2020,4,"Les Corts",19,"les Corts","Home",21693
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",11163
2020,4,"Les Corts",21,"Pedralbes","Home",5577
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",2329
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",11773
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",7776
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",12113
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",21557
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",13930
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Home",7556
2020,6,"Gràcia",29,"el Coll","Home",3554
2020,6,"Gràcia",30,"la Salut","Home",6225
2020,6,"Gràcia",31,"la Vila de Gràcia","Home",23190
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",16300
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",12097
2020,7,"Horta-Guinardó",34,"Can Baró","Home",4423
2020,7,"Horta-Guinardó",35,"el Guinardó","Home",17593
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",4521
2020,7,"Horta-Guinardó",37,"el Carmel","Home",15461
2020,7,"Horta-Guinardó",38,"la Teixonera","Home",5715
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",3546
2020,7,"Horta-Guinardó",40,"Montbau","Home",2353
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",2746
2020,7,"Horta-Guinardó",42,"la Clota","Home",365
2020,7,"Horta-Guinardó",43,"Horta","Home",13247
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",11974
2020,8,"Nou Barris",45,"Porta","Home",13014
2020,8,"Nou Barris",46,"el Turó de la Peira","Home",7567
2020,8,"Nou Barris",47,"Can Peguera","Home",1048
2020,8,"Nou Barris",48,"la Guineueta","Home",7117
2020,8,"Nou Barris",49,"Canyelles","Home",3249
2020,8,"Nou Barris",50,"les Roquetes","Home",7901
2020,8,"Nou Barris",51,"Verdun","Home",5966
2020,8,"Nou Barris",52,"la Prosperitat","Home",12646
2020,8,"Nou Barris",53,"la Trinitat Nova","Home",3652
