"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","Espanyola","0-4 anys",395
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Espanyola","0-4 anys",102
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanyola","0-4 anys",131
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanyola","0-4 anys",185
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanyola","0-4 anys",419
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanyola","0-4 anys",677
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanyola","0-4 anys",599
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanyola","0-4 anys",562
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanyola","0-4 anys",830
2020,2,"Eixample",10,"Sant Antoni","Dona","Espanyola","0-4 anys",476
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Espanyola","0-4 anys",452
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Espanyola","0-4 anys",28
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Espanyola","0-4 anys",451
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Espanyola","0-4 anys",99
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Espanyola","0-4 anys",240
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Espanyola","0-4 anys",311
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Espanyola","0-4 anys",347
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Espanyola","0-4 anys",622
2020,4,"Les Corts",19,"les Corts","Dona","Espanyola","0-4 anys",767
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Espanyola","0-4 anys",400
2020,4,"Les Corts",21,"Pedralbes","Dona","Espanyola","0-4 anys",176
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Espanyola","0-4 anys",90
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Espanyola","0-4 anys",548
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Espanyola","0-4 anys",345
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Espanyola","0-4 anys",447
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Espanyola","0-4 anys",918
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Espanyola","0-4 anys",556
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Espanyola","0-4 anys",270
2020,6,"Gràcia",29,"el Coll","Dona","Espanyola","0-4 anys",100
2020,6,"Gràcia",30,"la Salut","Dona","Espanyola","0-4 anys",219
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Espanyola","0-4 anys",849
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Espanyola","0-4 anys",585
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Espanyola","0-4 anys",377
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Espanyola","0-4 anys",141
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Espanyola","0-4 anys",595
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Espanyola","0-4 anys",151
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Espanyola","0-4 anys",466
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Espanyola","0-4 anys",159
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Espanyola","0-4 anys",120
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Espanyola","0-4 anys",72
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Espanyola","0-4 anys",103
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Espanyola","0-4 anys",21
2020,7,"Horta-Guinardó",43,"Horta","Dona","Espanyola","0-4 anys",439
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Espanyola","0-4 anys",363
2020,8,"Nou Barris",45,"Porta","Dona","Espanyola","0-4 anys",403
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Espanyola","0-4 anys",252
2020,8,"Nou Barris",47,"Can Peguera","Dona","Espanyola","0-4 anys",31
2020,8,"Nou Barris",48,"la Guineueta","Dona","Espanyola","0-4 anys",206
2020,8,"Nou Barris",49,"Canyelles","Dona","Espanyola","0-4 anys",85
2020,8,"Nou Barris",50,"les Roquetes","Dona","Espanyola","0-4 anys",306
2020,8,"Nou Barris",51,"Verdun","Dona","Espanyola","0-4 anys",177
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Espanyola","0-4 anys",381
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Espanyola","0-4 anys",104
2020,8,"Nou Barris",54,"Torre Baró","Dona","Espanyola","0-4 anys",49
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Espanyola","0-4 anys",159
2020,8,"Nou Barris",56,"Vallbona","Dona","Espanyola","0-4 anys",29
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Espanyola","0-4 anys",139
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Espanyola","0-4 anys",56
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Espanyola","0-4 anys",220
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Espanyola","0-4 anys",1007
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Espanyola","0-4 anys",418
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Espanyola","0-4 anys",219
2020,9,"Sant Andreu",63,"Navas","Dona","Espanyola","0-4 anys",323
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Espanyola","0-4 anys",541
2020,10,"Sant Martí",65,"el Clot","Dona","Espanyola","0-4 anys",356
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Espanyola","0-4 anys",290
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Espanyola","0-4 anys",128
2020,10,"Sant Martí",68,"el Poblenou","Dona","Espanyola","0-4 anys",559
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Espanyola","0-4 anys",275
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Espanyola","0-4 anys",339
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Espanyola","0-4 anys",366
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Espanyola","0-4 anys",367
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Espanyola","0-4 anys",417
2020,1,"Ciutat Vella",1,"el Raval","Dona","Espanyola","5-9 anys",553
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Espanyola","5-9 anys",133
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanyola","5-9 anys",118
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanyola","5-9 anys",196
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanyola","5-9 anys",453
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanyola","5-9 anys",662
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanyola","5-9 anys",605
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanyola","5-9 anys",591
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanyola","5-9 anys",803
2020,2,"Eixample",10,"Sant Antoni","Dona","Espanyola","5-9 anys",474
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Espanyola","5-9 anys",446
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Espanyola","5-9 anys",19
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Espanyola","5-9 anys",495
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Espanyola","5-9 anys",120
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Espanyola","5-9 anys",220
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Espanyola","5-9 anys",298
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Espanyola","5-9 anys",363
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Espanyola","5-9 anys",607
2020,4,"Les Corts",19,"les Corts","Dona","Espanyola","5-9 anys",825
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Espanyola","5-9 anys",430
2020,4,"Les Corts",21,"Pedralbes","Dona","Espanyola","5-9 anys",238
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Espanyola","5-9 anys",119
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Espanyola","5-9 anys",656
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Espanyola","5-9 anys",426
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Espanyola","5-9 anys",613
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Espanyola","5-9 anys",971
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Espanyola","5-9 anys",598
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Espanyola","5-9 anys",307
2020,6,"Gràcia",29,"el Coll","Dona","Espanyola","5-9 anys",138
2020,6,"Gràcia",30,"la Salut","Dona","Espanyola","5-9 anys",232
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Espanyola","5-9 anys",741
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Espanyola","5-9 anys",532
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Espanyola","5-9 anys",364
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Espanyola","5-9 anys",172
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Espanyola","5-9 anys",677
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Espanyola","5-9 anys",180
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Espanyola","5-9 anys",523
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Espanyola","5-9 anys",190
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Espanyola","5-9 anys",111
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Espanyola","5-9 anys",69
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Espanyola","5-9 anys",102
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Espanyola","5-9 anys",13
2020,7,"Horta-Guinardó",43,"Horta","Dona","Espanyola","5-9 anys",479
