"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","Barcelona ciutat",6076
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Barcelona ciutat",2210
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Barcelona ciutat",2928
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Barcelona ciutat",3370
2020,2,"Eixample",5,"el Fort Pienc","Dona","Barcelona ciutat",7744
2020,2,"Eixample",6,"la Sagrada Família","Dona","Barcelona ciutat",12768
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Barcelona ciutat",11187
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Barcelona ciutat",10487
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Barcelona ciutat",14615
2020,2,"Eixample",10,"Sant Antoni","Dona","Barcelona ciutat",9404
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Barcelona ciutat",7966
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Barcelona ciutat",395
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Barcelona ciutat",7990
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Barcelona ciutat",2345
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Barcelona ciutat",3676
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Barcelona ciutat",5209
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Barcelona ciutat",5774
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Barcelona ciutat",10851
2020,4,"Les Corts",19,"les Corts","Dona","Barcelona ciutat",13196
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Barcelona ciutat",6341
2020,4,"Les Corts",21,"Pedralbes","Dona","Barcelona ciutat",3253
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Barcelona ciutat",1425
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Barcelona ciutat",8101
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Barcelona ciutat",5624
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Barcelona ciutat",8590
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Barcelona ciutat",15567
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Barcelona ciutat",9390
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Barcelona ciutat",4551
2020,6,"Gràcia",29,"el Coll","Dona","Barcelona ciutat",1984
2020,6,"Gràcia",30,"la Salut","Dona","Barcelona ciutat",3945
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Barcelona ciutat",13252
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Barcelona ciutat",10222
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Barcelona ciutat",7053
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Barcelona ciutat",2512
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Barcelona ciutat",10249
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Barcelona ciutat",3108
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Barcelona ciutat",7502
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Barcelona ciutat",2774
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Barcelona ciutat",1731
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Barcelona ciutat",1432
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Barcelona ciutat",1582
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Barcelona ciutat",216
2020,7,"Horta-Guinardó",43,"Horta","Dona","Barcelona ciutat",7856
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Barcelona ciutat",6744
2020,8,"Nou Barris",45,"Porta","Dona","Barcelona ciutat",6166
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Barcelona ciutat",3513
2020,8,"Nou Barris",47,"Can Peguera","Dona","Barcelona ciutat",722
2020,8,"Nou Barris",48,"la Guineueta","Dona","Barcelona ciutat",4215
2020,8,"Nou Barris",49,"Canyelles","Dona","Barcelona ciutat",1931
2020,8,"Nou Barris",50,"les Roquetes","Dona","Barcelona ciutat",3602
2020,8,"Nou Barris",51,"Verdun","Dona","Barcelona ciutat",2792
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Barcelona ciutat",6197
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Barcelona ciutat",1901
2020,8,"Nou Barris",54,"Torre Baró","Dona","Barcelona ciutat",696
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Barcelona ciutat",1890
2020,8,"Nou Barris",56,"Vallbona","Dona","Barcelona ciutat",337
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Barcelona ciutat",2023
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Barcelona ciutat",770
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Barcelona ciutat",3511
