"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Grups_Edat","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Fins a 15 anys",92
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Fins a 15 anys",19
2016,1,"Ciutat Vella",3,"la Barceloneta","Fins a 15 anys",23
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Fins a 15 anys",35
2016,2,"Eixample",5,"el Fort Pienc","Fins a 15 anys",56
2016,2,"Eixample",6,"la Sagrada Família","Fins a 15 anys",78
2016,2,"Eixample",7,"la Dreta de l'Eixample","Fins a 15 anys",65
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Fins a 15 anys",58
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Fins a 15 anys",80
2016,2,"Eixample",10,"Sant Antoni","Fins a 15 anys",65
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Fins a 15 anys",94
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Fins a 15 anys",4
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Fins a 15 anys",81
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Fins a 15 anys",19
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Fins a 15 anys",18
2016,3,"Sants-Montjuïc",16,"la Bordeta","Fins a 15 anys",31
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Fins a 15 anys",40
2016,3,"Sants-Montjuïc",18,"Sants","Fins a 15 anys",69
2016,4,"Les Corts",19,"les Corts","Fins a 15 anys",81
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Fins a 15 anys",35
2016,4,"Les Corts",21,"Pedralbes","Fins a 15 anys",8
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Fins a 15 anys",12
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Fins a 15 anys",41
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Fins a 15 anys",25
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Fins a 15 anys",48
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Fins a 15 anys",59
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Fins a 15 anys",45
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Fins a 15 anys",28
2016,6,"Gràcia",29,"el Coll","Fins a 15 anys",9
2016,6,"Gràcia",30,"la Salut","Fins a 15 anys",34
2016,6,"Gràcia",31,"la Vila de Gràcia","Fins a 15 anys",65
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Fins a 15 anys",58
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Fins a 15 anys",36
2016,7,"Horta-Guinardó",34,"Can Baró","Fins a 15 anys",20
2016,7,"Horta-Guinardó",35,"el Guinardó","Fins a 15 anys",82
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Fins a 15 anys",16
2016,7,"Horta-Guinardó",37,"el Carmel","Fins a 15 anys",75
2016,7,"Horta-Guinardó",38,"la Teixonera","Fins a 15 anys",36
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Fins a 15 anys",21
2016,7,"Horta-Guinardó",40,"Montbau","Fins a 15 anys",14
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Fins a 15 anys",8
2016,7,"Horta-Guinardó",42,"la Clota","Fins a 15 anys",3
2016,7,"Horta-Guinardó",43,"Horta","Fins a 15 anys",59
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Fins a 15 anys",57
2016,8,"Nou Barris",45,"Porta","Fins a 15 anys",60
2016,8,"Nou Barris",46,"el Turó de la Peira","Fins a 15 anys",31
2016,8,"Nou Barris",47,"Can Peguera","Fins a 15 anys",12
2016,8,"Nou Barris",48,"la Guineueta","Fins a 15 anys",36
2016,8,"Nou Barris",49,"Canyelles","Fins a 15 anys",16
2016,8,"Nou Barris",50,"les Roquetes","Fins a 15 anys",32
2016,8,"Nou Barris",51,"Verdun","Fins a 15 anys",32
2016,8,"Nou Barris",52,"la Prosperitat","Fins a 15 anys",43
2016,8,"Nou Barris",53,"la Trinitat Nova","Fins a 15 anys",24
2016,8,"Nou Barris",54,"Torre Baró","Fins a 15 anys",23
2016,8,"Nou Barris",55,"Ciutat Meridiana","Fins a 15 anys",34
2016,8,"Nou Barris",56,"Vallbona","Fins a 15 anys",5
2016,9,"Sant Andreu",57,"la Trinitat Vella","Fins a 15 anys",55
2016,9,"Sant Andreu",58,"Baró de Viver","Fins a 15 anys",17
2016,9,"Sant Andreu",59,"el Bon Pastor","Fins a 15 anys",51
2016,9,"Sant Andreu",60,"Sant Andreu","Fins a 15 anys",132
2016,9,"Sant Andreu",61,"la Sagrera","Fins a 15 anys",70
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Fins a 15 anys",32
2016,9,"Sant Andreu",63,"Navas","Fins a 15 anys",37
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Fins a 15 anys",76
2016,10,"Sant Martí",65,"el Clot","Fins a 15 anys",70
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Fins a 15 anys",30
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Fins a 15 anys",29
2016,10,"Sant Martí",68,"el Poblenou","Fins a 15 anys",107
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Fins a 15 anys",30
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Fins a 15 anys",87
2016,10,"Sant Martí",71,"Provençals del Poblenou","Fins a 15 anys",55
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Fins a 15 anys",67
2016,10,"Sant Martí",73,"la Verneda i la Pau","Fins a 15 anys",64
2016,1,"Ciutat Vella",1,"el Raval","De 16 a 44 anys",617
2016,1,"Ciutat Vella",2,"el Barri Gòtic","De 16 a 44 anys",155
2016,1,"Ciutat Vella",3,"la Barceloneta","De 16 a 44 anys",216
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","De 16 a 44 anys",267
2016,2,"Eixample",5,"el Fort Pienc","De 16 a 44 anys",246
2016,2,"Eixample",6,"la Sagrada Família","De 16 a 44 anys",461
2016,2,"Eixample",7,"la Dreta de l'Eixample","De 16 a 44 anys",318
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","De 16 a 44 anys",307
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","De 16 a 44 anys",558
2016,2,"Eixample",10,"Sant Antoni","De 16 a 44 anys",368
2016,3,"Sants-Montjuïc",11,"el Poble Sec","De 16 a 44 anys",495
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","De 16 a 44 anys",65
2016,3,"Sants-Montjuïc",13,"la Marina de Port","De 16 a 44 anys",489
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","De 16 a 44 anys",203
2016,3,"Sants-Montjuïc",15,"Hostafrancs","De 16 a 44 anys",198
2016,3,"Sants-Montjuïc",16,"la Bordeta","De 16 a 44 anys",198
2016,3,"Sants-Montjuïc",17,"Sants - Badal","De 16 a 44 anys",257
2016,3,"Sants-Montjuïc",18,"Sants","De 16 a 44 anys",449
2016,4,"Les Corts",19,"les Corts","De 16 a 44 anys",382
