"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Discapacitat","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Físics Motrius",1089
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Físics Motrius",359
2016,1,"Ciutat Vella",3,"la Barceloneta","Físics Motrius",475
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Físics Motrius",521
2016,2,"Eixample",5,"el Fort Pienc","Físics Motrius",802
2016,2,"Eixample",6,"la Sagrada Família","Físics Motrius",1442
2016,2,"Eixample",7,"la Dreta de l'Eixample","Físics Motrius",1085
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Físics Motrius",1042
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Físics Motrius",1647
2016,2,"Eixample",10,"Sant Antoni","Físics Motrius",1126
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Físics Motrius",1133
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Físics Motrius",89
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Físics Motrius",1322
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Físics Motrius",363
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Físics Motrius",482
2016,3,"Sants-Montjuïc",16,"la Bordeta","Físics Motrius",602
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Físics Motrius",694
2016,3,"Sants-Montjuïc",18,"Sants","Físics Motrius",1190
2016,4,"Les Corts",19,"les Corts","Físics Motrius",1245
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Físics Motrius",752
2016,4,"Les Corts",21,"Pedralbes","Físics Motrius",270
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Físics Motrius",68
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Físics Motrius",498
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Físics Motrius",307
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Físics Motrius",491
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Físics Motrius",956
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Físics Motrius",606
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Físics Motrius",434
2016,6,"Gràcia",29,"el Coll","Físics Motrius",246
2016,6,"Gràcia",30,"la Salut","Físics Motrius",359
2016,6,"Gràcia",31,"la Vila de Gràcia","Físics Motrius",1175
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Físics Motrius",935
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Físics Motrius",725
2016,7,"Horta-Guinardó",34,"Can Baró","Físics Motrius",268
2016,7,"Horta-Guinardó",35,"el Guinardó","Físics Motrius",990
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Físics Motrius",273
2016,7,"Horta-Guinardó",37,"el Carmel","Físics Motrius",1128
2016,7,"Horta-Guinardó",38,"la Teixonera","Físics Motrius",376
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Físics Motrius",214
2016,7,"Horta-Guinardó",40,"Montbau","Físics Motrius",190
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Físics Motrius",157
2016,7,"Horta-Guinardó",42,"la Clota","Físics Motrius",16
2016,7,"Horta-Guinardó",43,"Horta","Físics Motrius",858
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Físics Motrius",796
2016,8,"Nou Barris",45,"Porta","Físics Motrius",921
2016,8,"Nou Barris",46,"el Turó de la Peira","Físics Motrius",584
2016,8,"Nou Barris",47,"Can Peguera","Físics Motrius",106
2016,8,"Nou Barris",48,"la Guineueta","Físics Motrius",671
2016,8,"Nou Barris",49,"Canyelles","Físics Motrius",342
2016,8,"Nou Barris",50,"les Roquetes","Físics Motrius",564
2016,8,"Nou Barris",51,"Verdun","Físics Motrius",435
2016,8,"Nou Barris",52,"la Prosperitat","Físics Motrius",926
2016,8,"Nou Barris",53,"la Trinitat Nova","Físics Motrius",290
2016,8,"Nou Barris",54,"Torre Baró","Físics Motrius",137
2016,8,"Nou Barris",55,"Ciutat Meridiana","Físics Motrius",401
2016,8,"Nou Barris",56,"Vallbona","Físics Motrius",63
2016,9,"Sant Andreu",57,"la Trinitat Vella","Físics Motrius",313
2016,9,"Sant Andreu",58,"Baró de Viver","Físics Motrius",115
2016,9,"Sant Andreu",59,"el Bon Pastor","Físics Motrius",373
2016,9,"Sant Andreu",60,"Sant Andreu","Físics Motrius",1875
2016,9,"Sant Andreu",61,"la Sagrera","Físics Motrius",914
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Físics Motrius",495
2016,9,"Sant Andreu",63,"Navas","Físics Motrius",730
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Físics Motrius",1107
2016,10,"Sant Martí",65,"el Clot","Físics Motrius",728
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Físics Motrius",422
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Físics Motrius",164
2016,10,"Sant Martí",68,"el Poblenou","Físics Motrius",868
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Físics Motrius",284
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Físics Motrius",712
2016,10,"Sant Martí",71,"Provençals del Poblenou","Físics Motrius",587
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Físics Motrius",900
2016,10,"Sant Martí",73,"la Verneda i la Pau","Físics Motrius",1108
2016,1,"Ciutat Vella",1,"el Raval","Físics No Motrius",1098
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Físics No Motrius",377
2016,1,"Ciutat Vella",3,"la Barceloneta","Físics No Motrius",392
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Físics No Motrius",418
2016,2,"Eixample",5,"el Fort Pienc","Físics No Motrius",468
2016,2,"Eixample",6,"la Sagrada Família","Físics No Motrius",887
2016,2,"Eixample",7,"la Dreta de l'Eixample","Físics No Motrius",582
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Físics No Motrius",662
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Físics No Motrius",1008
2016,2,"Eixample",10,"Sant Antoni","Físics No Motrius",692
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Físics No Motrius",802
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Físics No Motrius",48
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Físics No Motrius",874
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Físics No Motrius",219
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Físics No Motrius",302
2016,3,"Sants-Montjuïc",16,"la Bordeta","Físics No Motrius",359
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Físics No Motrius",434
2016,3,"Sants-Montjuïc",18,"Sants","Físics No Motrius",760
2016,4,"Les Corts",19,"les Corts","Físics No Motrius",778
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Físics No Motrius",496
2016,4,"Les Corts",21,"Pedralbes","Físics No Motrius",154
