"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
1001,710,610,149,99,870,202,695,149,476,"07-03-2021 11:00:04"
1002,790,720,153,191,975,191,589,214,707,"07-03-2021 11:00:04"
1003,2035,1641,712,490,2073,401,1870,295,1511,"07-03-2021 11:00:04"
1004,1671,1353,354,323,2049,298,1498,356,1170,"07-03-2021 11:00:04"
1005,1323,1154,297,254,1608,318,1230,364,883,"07-03-2021 11:00:04"
1006,943,722,173,183,1125,184,685,297,683,"07-03-2021 11:00:04"
1007,1213,802,261,184,1422,148,887,255,873,"07-03-2021 11:00:04"
1008,2053,1367,461,394,2176,389,1383,302,1735,"07-03-2021 11:00:04"
1009,1262,1033,333,215,1500,247,1074,217,1004,"07-03-2021 11:00:04"
1010,1391,1141,380,290,1658,204,1012,247,1273,"07-03-2021 11:00:04"
1011,1883,1484,463,397,2237,270,1384,327,1656,"07-03-2021 11:00:04"
1012,1018,984,236,184,1351,231,1008,224,770,"07-03-2021 11:00:04"
1013,717,760,184,113,964,216,810,130,537,"07-03-2021 11:00:04"
1014,1205,949,216,225,1476,237,1046,172,936,"07-03-2021 11:00:04"
1015,1219,1179,324,229,1596,249,1069,281,1048,"07-03-2021 11:00:04"
1016,1098,1073,270,226,1450,225,961,234,976,"07-03-2021 11:00:04"
1017,1290,1300,328,285,1726,251,1166,273,1151,"07-03-2021 11:00:04"
1018,808,771,199,169,1004,207,814,182,583,"07-03-2021 11:00:04"
1019,1659,1398,357,314,2076,310,1304,416,1337,"07-03-2021 11:00:04"
1020,1086,1165,146,222,1517,366,1219,478,554,"07-03-2021 11:00:04"
1021,1127,1099,163,196,1548,319,1122,422,682,"07-03-2021 11:00:04"
1022,826,727,90,192,1057,214,722,310,521,"07-03-2021 11:00:04"
1023,1060,1057,146,175,1505,291,1127,436,554,"07-03-2021 11:00:04"
1025,699,681,89,144,997,150,627,404,349,"07-03-2021 11:00:04"
1026,6965,1880,468,962,6977,438,1581,583,6681,"07-03-2021 11:00:04"
1027,769,798,92,147,1107,221,793,379,395,"07-03-2021 11:00:04"
1028,965,1013,138,220,1389,231,880,544,554,"07-03-2021 11:00:04"
1029,761,720,98,189,1045,149,590,436,455,"07-03-2021 11:00:04"
1030,1296,1248,230,259,1690,365,1262,529,753,"07-03-2021 11:00:04"
1031,868,767,132,159,1167,177,702,395,538,"07-03-2021 11:00:04"
1032,951,928,97,147,1335,300,1029,412,438,"07-03-2021 11:00:04"
1033,579,553,85,79,794,174,602,228,302,"07-03-2021 11:00:04"
1034,483,496,50,89,690,150,531,248,200,"07-03-2021 11:00:04"
