"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",674.6
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",487.4
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",927.6
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",671.1
"2006-2010",2,"Eixample",5,"el Fort Pienc",731.2
"2006-2010",2,"Eixample",6,"la Sagrada Família",808.7
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",934.5
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",858.5
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",810.8
"2006-2010",2,"Eixample",10,"Sant Antoni",886.1
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",770.1
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",3315.1
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",612.4
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",739.4
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",773.5
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",622.6
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",655.0
"2006-2010",3,"Sants-Montjuïc",18,"Sants",791.8
"2006-2010",4,"Les Corts",19,"les Corts",780.2
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",702.4
"2006-2010",4,"Les Corts",21,"Pedralbes",698.9
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",795.9
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",721.3
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",632.9
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",819.1
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",797.7
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",652.5
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",735.9
"2006-2010",6,"Gràcia",29,"el Coll",731.2
"2006-2010",6,"Gràcia",30,"la Salut",874.5
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",815.5
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",836.8
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",778.0
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",815.4
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",854.4
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",760.8
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",740.9
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",702.0
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",835.2
"2006-2010",7,"Horta-Guinardó",40,"Montbau",1648.3
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",585.4
"2006-2010",7,"Horta-Guinardó",42,"la Clota",913.6
"2006-2010",7,"Horta-Guinardó",43,"Horta",906.2
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",870.7
"2006-2010",8,"Nou Barris",45,"Porta",913.1
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",1133.3
"2006-2010",8,"Nou Barris",47,"Can Peguera",1368.0
"2006-2010",8,"Nou Barris",48,"la Guineueta",945.2
"2006-2010",8,"Nou Barris",49,"Canyelles",671.9
"2006-2010",8,"Nou Barris",50,"les Roquetes",784.4
"2006-2010",8,"Nou Barris",51,"Verdun",920.2
"2006-2010",8,"Nou Barris",52,"la Prosperitat",778.8
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",989.7
"2006-2010",8,"Nou Barris",54,"Torre Baró",1051.1
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",537.6
"2006-2010",8,"Nou Barris",56,"Vallbona",631.1
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",480.0
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",1018.3
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",640.3
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",717.5
"2006-2010",9,"Sant Andreu",61,"la Sagrera",672.1
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",1074.4
"2006-2010",9,"Sant Andreu",63,"Navas",786.0
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",745.8
"2006-2010",10,"Sant Martí",65,"el Clot",653.6
