"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",624.3
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",619.1
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",621.7
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",585.1
"2006-2010",2,"Eixample",5,"el Fort Pienc",533.3
"2006-2010",2,"Eixample",6,"la Sagrada Família",562.8
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",666.2
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",560.1
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",518.5
"2006-2010",2,"Eixample",10,"Sant Antoni",554.3
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",591.3
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",2384.7
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",586.6
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",572.0
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",647.6
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",576.3
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",594.7
"2006-2010",3,"Sants-Montjuïc",18,"Sants",556.9
"2006-2010",4,"Les Corts",19,"les Corts",538.8
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",515.5
"2006-2010",4,"Les Corts",21,"Pedralbes",531.3
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1009.8
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",485.4
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",516.6
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",553.2
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",553.0
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",507.0
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",616.5
"2006-2010",6,"Gràcia",29,"el Coll",508.2
"2006-2010",6,"Gràcia",30,"la Salut",698.7
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",618.1
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",507.2
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",515.6
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",607.9
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",529.6
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",667.5
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",565.7
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",656.0
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",642.0
"2006-2010",7,"Horta-Guinardó",40,"Montbau",785.0
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",671.3
"2006-2010",7,"Horta-Guinardó",42,"la Clota",456.9
"2006-2010",7,"Horta-Guinardó",43,"Horta",646.2
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",533.5
"2006-2010",8,"Nou Barris",45,"Porta",592.9
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",512.3
"2006-2010",8,"Nou Barris",47,"Can Peguera",821.4
"2006-2010",8,"Nou Barris",48,"la Guineueta",589.7
"2006-2010",8,"Nou Barris",49,"Canyelles",566.7
"2006-2010",8,"Nou Barris",50,"les Roquetes",577.2
"2006-2010",8,"Nou Barris",51,"Verdun",593.9
"2006-2010",8,"Nou Barris",52,"la Prosperitat",526.0
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",630.2
"2006-2010",8,"Nou Barris",54,"Torre Baró",797.6
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",623.1
"2006-2010",8,"Nou Barris",56,"Vallbona",708.5
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",645.2
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",844.8
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",703.6
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",560.3
"2006-2010",9,"Sant Andreu",61,"la Sagrera",532.5
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",501.9
"2006-2010",9,"Sant Andreu",63,"Navas",517.1
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",543.3
"2006-2010",10,"Sant Martí",65,"el Clot",580.0
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",613.2
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",528.1
"2006-2010",10,"Sant Martí",68,"el Poblenou",601.6
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",604.9
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",635.5
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",592.6
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",572.1
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",613.6
"2007-2011",1,"Ciutat Vella",1,"el Raval",767.2
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",824.3
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",758.3
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",727.3
"2007-2011",2,"Eixample",5,"el Fort Pienc",661.8
"2007-2011",2,"Eixample",6,"la Sagrada Família",686.9
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",811.8
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",687.6
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",636.8
"2007-2011",2,"Eixample",10,"Sant Antoni",684.1
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",739.3
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",2588.4
