"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2003-2007",1,"Ciutat Vella",1,"el Raval",21.5
"2003-2007",1,"Ciutat Vella",2,"el Barri Gòtic",15.7
"2003-2007",1,"Ciutat Vella",3,"la Barceloneta",16.8
"2003-2007",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",23.5
"2003-2007",2,"Eixample",5,"el Fort Pienc",21.7
"2003-2007",2,"Eixample",6,"la Sagrada Família",21.3
"2003-2007",2,"Eixample",7,"la Dreta de l'Eixample",25.9
"2003-2007",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27.4
"2003-2007",2,"Eixample",9,"la Nova Esquerra de l'Eixample",24.3
"2003-2007",2,"Eixample",10,"Sant Antoni",23.5
"2003-2007",3,"Sants-Montjuïc",11,"el Poble Sec",19.5
"2003-2007",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",26.4
"2003-2007",3,"Sants-Montjuïc",13,"la Marina de Port",18.4
"2003-2007",3,"Sants-Montjuïc",14,"la Font de la Guatlla",19.9
"2003-2007",3,"Sants-Montjuïc",15,"Hostafrancs",20.8
"2003-2007",3,"Sants-Montjuïc",16,"la Bordeta",19.6
"2003-2007",3,"Sants-Montjuïc",17,"Sants - Badal",16.1
"2003-2007",3,"Sants-Montjuïc",18,"Sants",22.1
"2003-2007",4,"Les Corts",19,"les Corts",21.5
"2003-2007",4,"Les Corts",20,"la Maternitat i Sant Ramon",18.7
"2003-2007",4,"Les Corts",21,"Pedralbes",22.9
"2003-2007",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",29.9
"2003-2007",5,"Sarrià-Sant Gervasi",23,"Sarrià",29.8
"2003-2007",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",36.8
"2003-2007",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",29.9
"2003-2007",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",31.3
"2003-2007",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",27.7
"2003-2007",6,"Gràcia",28,"Vallcarca i els Penitents",26.4
"2003-2007",6,"Gràcia",29,"el Coll",25.5
"2003-2007",6,"Gràcia",30,"la Salut",27.8
"2003-2007",6,"Gràcia",31,"la Vila de Gràcia",25.4
"2003-2007",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",25.0
"2003-2007",7,"Horta-Guinardó",33,"el Baix Guinardó",19.3
"2003-2007",7,"Horta-Guinardó",34,"Can Baró",21.1
"2003-2007",7,"Horta-Guinardó",35,"el Guinardó",23.5
"2003-2007",7,"Horta-Guinardó",36,"la Font d'en Fargues",25.3
"2003-2007",7,"Horta-Guinardó",37,"el Carmel",17.8
"2003-2007",7,"Horta-Guinardó",38,"la Teixonera",17.1
"2003-2007",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",16.6
"2003-2007",7,"Horta-Guinardó",40,"Montbau",28.3
"2003-2007",7,"Horta-Guinardó",41,"la Vall d'Hebron",25.9
"2003-2007",7,"Horta-Guinardó",42,"la Clota",29.5
"2003-2007",7,"Horta-Guinardó",43,"Horta",22.1
"2003-2007",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",21.5
"2003-2007",8,"Nou Barris",45,"Porta",19.1
"2003-2007",8,"Nou Barris",46,"el Turó de la Peira",17.8
"2003-2007",8,"Nou Barris",47,"Can Peguera",11.5
"2003-2007",8,"Nou Barris",48,"la Guineueta",21.1
"2003-2007",8,"Nou Barris",49,"Canyelles",14.9
"2003-2007",8,"Nou Barris",50,"les Roquetes",15.9
"2003-2007",8,"Nou Barris",51,"Verdun",17.4
"2003-2007",8,"Nou Barris",52,"la Prosperitat",16.8
"2003-2007",8,"Nou Barris",53,"la Trinitat Nova",18.9
"2003-2007",8,"Nou Barris",54,"Torre Baró",11.3
"2003-2007",8,"Nou Barris",55,"Ciutat Meridiana",17.2
"2003-2007",8,"Nou Barris",56,"Vallbona",25.1
"2003-2007",9,"Sant Andreu",57,"la Trinitat Vella",22.5
"2003-2007",9,"Sant Andreu",58,"Baró de Viver",15.1
"2003-2007",9,"Sant Andreu",59,"el Bon Pastor",24.7
"2003-2007",9,"Sant Andreu",60,"Sant Andreu",21.2
"2003-2007",9,"Sant Andreu",61,"la Sagrera",17.2
"2003-2007",9,"Sant Andreu",62,"el Congrés i els Indians",18.2
"2003-2007",9,"Sant Andreu",63,"Navas",21.1
"2003-2007",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",20.5
"2003-2007",10,"Sant Martí",65,"el Clot",23.8
"2003-2007",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",22.2
"2003-2007",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",35.1
"2003-2007",10,"Sant Martí",68,"el Poblenou",32.8
"2003-2007",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",43.7
"2003-2007",10,"Sant Martí",70,"el Besòs i el Maresme",14.7
"2003-2007",10,"Sant Martí",71,"Provençals del Poblenou",19.4
"2003-2007",10,"Sant Martí",72,"Sant Martí de Provençals",20.3
"2003-2007",10,"Sant Martí",73,"la Verneda i la Pau",15.7
"2004-2008",1,"Ciutat Vella",1,"el Raval",23.1
"2004-2008",1,"Ciutat Vella",2,"el Barri Gòtic",14.6
"2004-2008",1,"Ciutat Vella",3,"la Barceloneta",18.1
"2004-2008",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",24.9
"2004-2008",2,"Eixample",5,"el Fort Pienc",22.6
"2004-2008",2,"Eixample",6,"la Sagrada Família",22.2
"2004-2008",2,"Eixample",7,"la Dreta de l'Eixample",27.2
"2004-2008",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27.9
"2004-2008",2,"Eixample",9,"la Nova Esquerra de l'Eixample",24.7
"2004-2008",2,"Eixample",10,"Sant Antoni",22.6
"2004-2008",3,"Sants-Montjuïc",11,"el Poble Sec",20.3
"2004-2008",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",17.4
"2004-2008",3,"Sants-Montjuïc",13,"la Marina de Port",20.4
"2004-2008",3,"Sants-Montjuïc",14,"la Font de la Guatlla",20.6
"2004-2008",3,"Sants-Montjuïc",15,"Hostafrancs",19.6
"2004-2008",3,"Sants-Montjuïc",16,"la Bordeta",20.7
"2004-2008",3,"Sants-Montjuïc",17,"Sants - Badal",17.5
"2004-2008",3,"Sants-Montjuïc",18,"Sants",22.8
"2004-2008",4,"Les Corts",19,"les Corts",22.9
"2004-2008",4,"Les Corts",20,"la Maternitat i Sant Ramon",19.8
"2004-2008",4,"Les Corts",21,"Pedralbes",24.7
"2004-2008",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",31.1
"2004-2008",5,"Sarrià-Sant Gervasi",23,"Sarrià",29.3
"2004-2008",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",36.4
"2004-2008",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",30.8
"2004-2008",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",32.1
"2004-2008",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",27.3
"2004-2008",6,"Gràcia",28,"Vallcarca i els Penitents",28.5
"2004-2008",6,"Gràcia",29,"el Coll",27.2
"2004-2008",6,"Gràcia",30,"la Salut",30.7
"2004-2008",6,"Gràcia",31,"la Vila de Gràcia",27.0
"2004-2008",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",26.5
"2004-2008",7,"Horta-Guinardó",33,"el Baix Guinardó",19.6
"2004-2008",7,"Horta-Guinardó",34,"Can Baró",25.0
"2004-2008",7,"Horta-Guinardó",35,"el Guinardó",23.8
"2004-2008",7,"Horta-Guinardó",36,"la Font d'en Fargues",28.5
"2004-2008",7,"Horta-Guinardó",37,"el Carmel",18.3
"2004-2008",7,"Horta-Guinardó",38,"la Teixonera",18.3
"2004-2008",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",18.4
"2004-2008",7,"Horta-Guinardó",40,"Montbau",32.3
"2004-2008",7,"Horta-Guinardó",41,"la Vall d'Hebron",27.9
"2004-2008",7,"Horta-Guinardó",42,"la Clota",32.4
"2004-2008",7,"Horta-Guinardó",43,"Horta",22.0
