"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Dona",21808
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dona",8131
2019,1,"Ciutat Vella",3,"la Barceloneta","Dona",7424
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona",11263
2019,2,"Eixample",5,"el Fort Pienc","Dona",17020
2019,2,"Eixample",6,"la Sagrada Família","Dona",27822
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dona",23237
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona",22594
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona",31090
2019,2,"Eixample",10,"Sant Antoni","Dona",20077
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dona",20344
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona",574
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dona",16122
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona",5419
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dona",8311
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dona",10164
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dona",12953
2019,3,"Sants-Montjuïc",18,"Sants","Dona",22063
2019,4,"Les Corts",19,"les Corts","Dona",24829
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona",12776
2019,4,"Les Corts",21,"Pedralbes","Dona",6314
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona",2356
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona",13290
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona",8840
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona",14036
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona",26137
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona",16117
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dona",8539
2019,6,"Gràcia",29,"el Coll","Dona",3991
2019,6,"Gràcia",30,"la Salut","Dona",7182
2019,6,"Gràcia",31,"la Vila de Gràcia","Dona",27312
