"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_us","Concepte","Valor"
2020,1,"Ciutat Vella",1,"el Raval",1,"Administracions Publiques","Valor_cad_€",15381153.51
2020,1,"Ciutat Vella",1,"el Raval",1,"Aparcament","Valor_cad_€",3444553.44
2020,1,"Ciutat Vella",1,"el Raval",1,"Comerç","Valor_cad_€",10071631.85
2020,1,"Ciutat Vella",1,"el Raval",1,"Ensenyament i Cultura","Valor_cad_€",23543736.44
2020,1,"Ciutat Vella",1,"el Raval",1,"Espectacles","Valor_cad_€",379007.09
2020,1,"Ciutat Vella",1,"el Raval",1,"Indústria","Valor_cad_€",61686.66
2020,1,"Ciutat Vella",1,"el Raval",1,"Oficines","Valor_cad_€",19517561.35
2020,1,"Ciutat Vella",1,"el Raval",1,"Religiós","Valor_cad_€",976395.84
2020,1,"Ciutat Vella",1,"el Raval",1,"Residencial","Valor_cad_€",70063665.72
2020,1,"Ciutat Vella",1,"el Raval",1,"Sanitat","Valor_cad_€",3702630.96
2020,1,"Ciutat Vella",1,"el Raval",1,"Solars","Valor_cad_€",2865611.0
2020,1,"Ciutat Vella",1,"el Raval",1,"Turisme i Hostaleria","Valor_cad_€",5839170.76
2020,1,"Ciutat Vella",1,"el Raval",2,"Aparcament","Valor_cad_€",1122065.89
2020,1,"Ciutat Vella",1,"el Raval",2,"Comerç","Valor_cad_€",9179819.79
2020,1,"Ciutat Vella",1,"el Raval",2,"Ensenyament i Cultura","Valor_cad_€",7860726.51
2020,1,"Ciutat Vella",1,"el Raval",2,"Espectacles","Valor_cad_€",11199322.28
2020,1,"Ciutat Vella",1,"el Raval",2,"Residencial","Valor_cad_€",51744791.05
2020,1,"Ciutat Vella",1,"el Raval",2,"Solars","Valor_cad_€",1528846.1
2020,1,"Ciutat Vella",1,"el Raval",2,"Turisme i Hostaleria","Valor_cad_€",20186939.39
2020,1,"Ciutat Vella",1,"el Raval",3,"Aparcament","Valor_cad_€",3594573.11
2020,1,"Ciutat Vella",1,"el Raval",3,"Comerç","Valor_cad_€",10419697.62
2020,1,"Ciutat Vella",1,"el Raval",3,"Ensenyament i Cultura","Valor_cad_€",125338.23
