"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
1,5071,"001","01","Ciutat Vella","el Raval","001",1,4,96,1,3,89,202635,94173,108462,"","",114001,"02/04/2021 00:07:11"
1,6041,"036","03","Ciutat Vella","la Barceloneta","014",0,1,0,0,0,0,0,0,0,"","",8360,"02/04/2021 00:07:11"
1,6044,"036","03","Ciutat Vella","la Barceloneta","014",0,1,0,0,0,0,0,0,0,"","",4843,"02/04/2021 00:07:11"
1,6054,"036","03","Ciutat Vella","la Barceloneta","014",0,3,3,0,0,3,3711,0,3711,"","",62393,"02/04/2021 00:07:11"
1,6055,"036","03","Ciutat Vella","la Barceloneta","014",2,4,697,60,563,74,94256,55392,38864,"","",13401,"02/04/2021 00:07:11"
1,6057,"043","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","016",0,2,0,0,0,0,0,0,0,"","",5932,"02/04/2021 00:07:11"
1,6058,"036","03","Ciutat Vella","la Barceloneta","014",107,44,1855,1848,1,6,192210,186308,5902,"","",18769,"02/04/2021 00:07:11"
1,6059,"036","03","Ciutat Vella","la Barceloneta","014",0,2,22,0,1,21,35258,24663,10595,"","",7193,"02/04/2021 00:07:11"
1,8041,"089","70","Ciutat Vella","el Besòs i el Maresme","??",0,10,7,0,0,7,0,0,0,"","",11915,"02/04/2021 00:07:11"
1,10026,"032","03","Ciutat Vella","la Barceloneta","013",227,112,6901,5657,11,1233,975179,799326,175853,"","",564218,"02/04/2021 00:07:11"
1,10030,"032","03","Ciutat Vella","la Barceloneta","013",115,59,4860,4212,0,648,410562,410562,0,"","",102201,"02/04/2021 00:07:11"
1,10040,"032","03","Ciutat Vella","la Barceloneta","013",0,1,0,0,0,0,0,0,0,"","",11372,"02/04/2021 00:07:11"
1,10050,"032","03","Ciutat Vella","la Barceloneta","013",0,1,1,0,0,1,71,71,0,"","",71,"02/04/2021 00:07:11"
1,10060,"032","03","Ciutat Vella","la Barceloneta","013",4,3,16,1,0,12,2005,2005,0,"","",359,"02/04/2021 00:07:11"
1,10070,"032","03","Ciutat Vella","la Barceloneta","013",48,26,277,133,0,24,11803,11371,432,"","",1943,"02/04/2021 00:07:11"
1,10080,"032","03","Ciutat Vella","la Barceloneta","013",45,32,262,128,0,6,9890,9465,425,"","",2283,"02/04/2021 00:07:11"
1,10090,"032","03","Ciutat Vella","la Barceloneta","013",37,19,174,157,0,17,10418,10418,0,"","",1798,"02/04/2021 00:07:11"
1,10100,"032","03","Ciutat Vella","la Barceloneta","013",153,66,921,894,0,7,34781,34781,0,"","",6369,"02/04/2021 00:07:11"
1,10110,"032","03","Ciutat Vella","la Barceloneta","013",152,80,1718,1710,0,0,64653,64653,0,"","",11550,"02/04/2021 00:07:11"
1,10120,"032","03","Ciutat Vella","la Barceloneta","013",145,59,1242,796,0,170,92942,78891,14051,"","",12834,"02/04/2021 00:07:11"
1,10130,"032","03","Ciutat Vella","la Barceloneta","013",64,31,502,429,0,58,40477,39167,1310,"","",6448,"02/04/2021 00:07:11"
1,10140,"032","03","Ciutat Vella","la Barceloneta","013",88,50,935,234,1,29,37740,37526,214,"","",6172,"02/04/2021 00:07:11"
1,10150,"032","03","Ciutat Vella","la Barceloneta","013",98,50,622,318,0,54,28481,25814,2667,"","",4463,"02/04/2021 00:07:11"
1,10160,"032","03","Ciutat Vella","la Barceloneta","013",111,57,621,462,0,53,24392,24392,0,"","",4390,"02/04/2021 00:07:11"
1,10170,"032","03","Ciutat Vella","la Barceloneta","013",104,49,634,269,0,32,25492,25492,0,"","",5017,"02/04/2021 00:07:11"
1,10180,"032","03","Ciutat Vella","la Barceloneta","013",86,44,503,459,0,44,21402,21122,280,"","",5074,"02/04/2021 00:07:11"
1,10190,"032","03","Ciutat Vella","la Barceloneta","013",100,53,498,209,0,39,22488,21833,655,"","",4500,"02/04/2021 00:07:11"
1,10200,"032","03","Ciutat Vella","la Barceloneta","013",121,59,627,346,0,49,24154,23499,655,"","",4623,"02/04/2021 00:07:11"
1,10210,"032","03","Ciutat Vella","la Barceloneta","013",86,44,640,376,0,44,33573,31047,2526,"","",5350,"02/04/2021 00:07:11"
1,10220,"032","03","Ciutat Vella","la Barceloneta","013",46,23,163,34,0,17,8117,7961,156,"","",2133,"02/04/2021 00:07:11"
1,10230,"032","03","Ciutat Vella","la Barceloneta","013",26,17,152,85,0,2,6149,6149,0,"","",1285,"02/04/2021 00:07:11"
1,10240,"032","03","Ciutat Vella","la Barceloneta","013",0,1,0,0,0,0,0,0,0,"","",327,"02/04/2021 00:07:11"
1,10250,"??","03","Ciutat Vella","la Barceloneta","??",55,31,304,270,0,34,17071,17071,0,"","",15968,"02/04/2021 00:07:11"
1,10260,"034","03","Ciutat Vella","la Barceloneta","013",95,48,701,583,0,19,28943,28943,0,"","",5313,"02/04/2021 00:07:11"
1,10271,"034","03","Ciutat Vella","la Barceloneta","013",275,140,1980,1464,0,99,80698,80698,0,"","",14839,"02/04/2021 00:07:11"
1,10290,"034","03","Ciutat Vella","la Barceloneta","013",125,65,1261,1012,0,18,49084,48214,870,"","",8119,"02/04/2021 00:07:11"
1,10300,"034","03","Ciutat Vella","la Barceloneta","013",137,76,1064,909,0,45,40896,40896,0,"","",7432,"02/04/2021 00:07:11"
1,10310,"034","03","Ciutat Vella","la Barceloneta","013",127,63,576,410,0,9,23164,23164,0,"","",4729,"02/04/2021 00:07:11"
1,10320,"034","03","Ciutat Vella","la Barceloneta","013",168,83,930,375,0,78,36268,36268,0,"","",6592,"02/04/2021 00:07:11"
1,10331,"033","03","Ciutat Vella","la Barceloneta","013",347,167,2269,1265,0,163,93319,92799,520,"","",16405,"02/04/2021 00:07:11"
1,10350,"033","03","Ciutat Vella","la Barceloneta","013",142,68,807,352,0,84,31547,31147,400,"","",5458,"02/04/2021 00:07:11"
1,10360,"033","03","Ciutat Vella","la Barceloneta","013",138,67,1346,1238,0,38,59592,58321,1271,"","",9034,"02/04/2021 00:07:11"
1,10371,"033","03","Ciutat Vella","la Barceloneta","013",357,165,3474,1660,0,241,148086,147126,960,"","",24137,"02/04/2021 00:07:11"
1,10390,"033","03","Ciutat Vella","la Barceloneta","013",136,72,1518,1126,1,181,110596,97387,13209,"","",14124,"02/04/2021 00:07:11"
1,10410,"040","03","Ciutat Vella","la Barceloneta","015",137,67,1648,1420,6,220,114008,106864,7144,"","",14843,"02/04/2021 00:07:11"
1,10421,"040","03","Ciutat Vella","la Barceloneta","015",274,118,1309,797,0,175,58012,55685,2327,"","",9995,"02/04/2021 00:07:11"
1,10441,"039","03","Ciutat Vella","la Barceloneta","015",248,120,1265,876,0,149,59912,55956,3956,"","",9949,"02/04/2021 00:07:11"
1,10461,"039","03","Ciutat Vella","la Barceloneta","015",198,90,1035,559,3,162,51125,51125,0,"","",9336,"02/04/2021 00:07:11"
1,10480,"039","03","Ciutat Vella","la Barceloneta","015",155,64,925,805,0,120,70628,70628,0,"","",12433,"02/04/2021 00:07:11"
1,10490,"039","03","Ciutat Vella","la Barceloneta","015",137,59,851,766,0,85,64713,64713,0,"","",11507,"02/04/2021 00:07:11"
1,10501,"038","03","Ciutat Vella","la Barceloneta","015",240,123,1883,1514,0,240,82029,80906,1123,"","",15409,"02/04/2021 00:07:11"
1,10521,"038","03","Ciutat Vella","la Barceloneta","015",217,110,2752,1285,0,245,114111,111867,2244,"","",23639,"02/04/2021 00:07:11"
1,10541,"038","03","Ciutat Vella","la Barceloneta","015",218,107,1898,1599,0,196,82081,82081,0,"","",18008,"02/04/2021 00:07:11"
1,10561,"035","03","Ciutat Vella","la Barceloneta","014",161,89,1924,1613,0,296,106916,105297,1619,"","",19958,"02/04/2021 00:07:11"
1,10562,"035","03","Ciutat Vella","la Barceloneta","014",0,1,0,0,0,0,0,0,0,"","",3013,"02/04/2021 00:07:11"
1,10570,"035","03","Ciutat Vella","la Barceloneta","014",0,1,0,0,0,0,0,0,0,"","",1593,"02/04/2021 00:07:11"
1,10611,"039","03","Ciutat Vella","la Barceloneta","015",80,38,795,578,0,199,36076,36076,0,"","",5852,"02/04/2021 00:07:11"
1,10620,"039","03","Ciutat Vella","la Barceloneta","015",71,29,593,485,0,58,31441,30871,570,"","",6312,"02/04/2021 00:07:11"
1,10630,"039","03","Ciutat Vella","la Barceloneta","015",42,21,251,20,0,7,12996,12996,0,"","",2479,"02/04/2021 00:07:11"
1,10640,"039","03","Ciutat Vella","la Barceloneta","015",58,30,198,121,0,46,9960,8165,1795,"","",1711,"02/04/2021 00:07:11"
1,10650,"040","03","Ciutat Vella","la Barceloneta","015",73,44,480,389,0,48,18819,16790,2029,"","",2775,"02/04/2021 00:07:11"
1,10660,"040","03","Ciutat Vella","la Barceloneta","015",99,40,541,448,0,69,24511,23524,987,"","",3727,"02/04/2021 00:07:11"
1,10670,"040","03","Ciutat Vella","la Barceloneta","015",154,89,1873,1217,0,342,123365,108001,15364,"","",15662,"02/04/2021 00:07:11"
1,10690,"040","03","Ciutat Vella","la Barceloneta","015",152,73,1525,1227,0,268,123122,110915,12207,"","",14979,"02/04/2021 00:07:11"
1,10700,"040","03","Ciutat Vella","la Barceloneta","015",80,39,465,355,0,98,21205,18164,3041,"","",3034,"02/04/2021 00:07:11"
1,10710,"040","03","Ciutat Vella","la Barceloneta","015",68,37,393,117,0,48,16591,15928,663,"","",2810,"02/04/2021 00:07:11"
1,10721,"040","03","Ciutat Vella","la Barceloneta","015",19,10,124,102,6,16,6722,5392,1330,"","",1348,"02/04/2021 00:07:11"
1,10722,"040","03","Ciutat Vella","la Barceloneta","015",0,1,0,0,0,0,0,0,0,"","",806,"02/04/2021 00:07:11"
1,10730,"040","03","Ciutat Vella","la Barceloneta","015",36,18,228,208,0,20,11712,10392,1320,"","",1856,"02/04/2021 00:07:11"
1,10740,"039","03","Ciutat Vella","la Barceloneta","015",386,155,3256,2602,2,245,228900,225427,3473,"","",50180,"02/04/2021 00:07:11"
1,10760,"039","03","Ciutat Vella","la Barceloneta","015",0,3,265,0,265,0,6045,0,6045,"","",9483,"02/04/2021 00:07:11"
1,10780,"041","03","Ciutat Vella","la Barceloneta","015",121,62,681,338,52,90,24591,22283,2308,"","",4184,"02/04/2021 00:07:11"
1,10790,"041","03","Ciutat Vella","la Barceloneta","015",145,78,849,684,0,48,30517,29688,829,"","",5928,"02/04/2021 00:07:11"
1,10800,"041","03","Ciutat Vella","la Barceloneta","015",133,71,722,483,0,42,28920,28254,666,"","",4810,"02/04/2021 00:07:11"
1,10810,"041","03","Ciutat Vella","la Barceloneta","015",168,86,573,380,0,34,21884,20853,1031,"","",3509,"02/04/2021 00:07:11"
1,10820,"041","03","Ciutat Vella","la Barceloneta","015",147,64,615,361,11,49,24808,24219,589,"","",4476,"02/04/2021 00:07:11"
1,10830,"041","03","Ciutat Vella","la Barceloneta","015",162,78,1127,880,0,80,46926,45084,1842,"","",7627,"02/04/2021 00:07:11"
1,10840,"041","03","Ciutat Vella","la Barceloneta","015",125,62,551,318,7,51,20559,19170,1389,"","",3708,"02/04/2021 00:07:11"
1,10850,"041","03","Ciutat Vella","la Barceloneta","015",131,66,476,189,0,90,20287,17546,2741,"","",3281,"02/04/2021 00:07:11"
1,10860,"041","03","Ciutat Vella","la Barceloneta","015",170,82,814,291,0,109,33241,30846,2395,"","",5472,"02/04/2021 00:07:11"
1,10870,"041","03","Ciutat Vella","la Barceloneta","015",125,48,658,169,0,86,31401,28500,2901,"","",4588,"02/04/2021 00:07:11"
1,10880,"041","03","Ciutat Vella","la Barceloneta","015",133,61,974,652,0,228,61233,54269,6964,"","",9632,"02/04/2021 00:07:11"
1,10898,"032","03","Ciutat Vella","la Barceloneta","013",4,8,98,0,1,97,188880,46704,142176,"","",151933,"02/04/2021 00:07:11"
1,10900,"042","03","Ciutat Vella","la Barceloneta","015",172,52,1548,733,166,271,112184,107667,4517,"","",22061,"02/04/2021 00:07:11"
1,10911,"042","03","Ciutat Vella","la Barceloneta","015",139,56,690,466,0,100,48292,48292,0,"","",9435,"02/04/2021 00:07:11"
1,10912,"042","03","Ciutat Vella","la Barceloneta","015",158,69,905,826,18,61,54412,54412,0,"","",9292,"02/04/2021 00:07:11"
1,10921,"042","03","Ciutat Vella","la Barceloneta","015",190,76,1012,759,0,163,66831,63662,3169,"","",10693,"02/04/2021 00:07:11"
1,10922,"042","03","Ciutat Vella","la Barceloneta","015",194,76,1020,805,0,53,68347,68127,220,"","",11725,"02/04/2021 00:07:11"
1,10931,"042","03","Ciutat Vella","la Barceloneta","015",168,73,3958,1910,1560,368,362573,314573,48000,"","",68859,"02/04/2021 00:07:11"
1,10941,"042","03","Ciutat Vella","la Barceloneta","015",177,71,4173,1995,1840,324,339075,284555,54520,"","",68117,"02/04/2021 00:07:11"
1,10953,"042","03","Ciutat Vella","la Barceloneta","015",0,1,0,0,0,0,0,0,0,"","",2589,"02/04/2021 00:07:11"
1,10955,"042","03","Ciutat Vella","la Barceloneta","015",100,42,4242,2016,1680,546,324828,276570,48258,"","",53550,"02/04/2021 00:07:11"
1,10960,"038","03","Ciutat Vella","la Barceloneta","015",82,41,334,160,0,53,16030,14621,1409,"","",2941,"02/04/2021 00:07:11"
1,10970,"038","03","Ciutat Vella","la Barceloneta","015",151,77,601,451,0,47,24832,23721,1111,"","",4083,"02/04/2021 00:07:11"
1,10980,"038","03","Ciutat Vella","la Barceloneta","015",157,74,545,297,0,17,22184,22009,175,"","",3891,"02/04/2021 00:07:11"
1,10990,"038","03","Ciutat Vella","la Barceloneta","015",146,72,728,554,0,107,28317,27274,1043,"","",4434,"02/04/2021 00:07:11"
1,11000,"038","03","Ciutat Vella","la Barceloneta","015",153,68,772,690,0,38,29763,29330,433,"","",5069,"02/04/2021 00:07:11"
1,11010,"038","03","Ciutat Vella","la Barceloneta","015",180,78,841,681,0,50,32549,32099,450,"","",5392,"02/04/2021 00:07:11"
1,11020,"035","03","Ciutat Vella","la Barceloneta","014",197,93,1800,1644,0,34,68529,68529,0,"","",10972,"02/04/2021 00:07:11"
1,11030,"035","03","Ciutat Vella","la Barceloneta","014",128,64,743,519,0,82,29444,29444,0,"","",5354,"02/04/2021 00:07:11"
1,11040,"035","03","Ciutat Vella","la Barceloneta","014",145,69,1043,747,0,69,42094,40577,1517,"","",7166,"02/04/2021 00:07:11"
1,11050,"035","03","Ciutat Vella","la Barceloneta","014",74,17,109,19,0,26,14124,13917,207,"","",3205,"02/04/2021 00:07:11"
1,11060,"035","03","Ciutat Vella","la Barceloneta","014",177,80,1318,687,0,33,49049,48665,384,"","",8306,"02/04/2021 00:07:11"
1,11070,"035","03","Ciutat Vella","la Barceloneta","014",205,94,3120,3021,0,99,123029,123029,0,"","",19554,"02/04/2021 00:07:11"
1,11080,"035","03","Ciutat Vella","la Barceloneta","014",148,74,1092,613,0,12,42563,42563,0,"","",7635,"02/04/2021 00:07:11"
1,11090,"035","03","Ciutat Vella","la Barceloneta","014",36,11,130,130,0,0,15410,15410,0,"","",2645,"02/04/2021 00:07:11"
1,11101,"036","03","Ciutat Vella","la Barceloneta","014",0,2,7,0,0,7,3663,2980,683,"","",3925,"02/04/2021 00:07:11"
1,11120,"037","03","Ciutat Vella","la Barceloneta","015",662,287,8476,6020,105,1030,590882,580119,10763,"","",107261,"02/04/2021 00:07:11"
1,11130,"036","03","Ciutat Vella","la Barceloneta","014",122,68,525,336,0,44,19390,18694,696,"","",3237,"02/04/2021 00:07:11"
