"Dte","Barris","2011","2010","2009","2008","2007","Unnamed: 7","Unnamed: 8","Unnamed: 9"
1,"1. el Raval","220.321","230.700","239.854","263.938","291.041","","",""
1,"2. el Barri Gòtic","366.317","332.350","331.285","362.011","384.963","","",""
1,"3. la Barceloneta","235.651","247.763","219.778","252.204","289.774","","",""
1,"4. Sant Pere, Santa Caterina i la Ribera","301.167","290.082","284.528","303.091","326.866","","",""
2,"5. el Fort Pienc","333.517","365.141","384.073","405.810","429.219","","",""
2,"6. la Sagrada Família","309.041","319.434","320.547","361.437","392.253","","",""
2,"7. la Dreta de l'Eixample","563.813","490.640","475.542","470.338","498.776","","",""
2,"8. l'Antiga Esquerra de l'Eixample","438.862","450.614","446.801","467.934","519.591","","",""
2,"9. la Nova Esquerra de l'Eixample","350.846","389.895","371.041","410.658","430.970","","",""
2,"10. Sant Antoni","309.157","321.499","362.286","385.852","411.671","","",""
3,"11. el Poble Sec - Parc Montjuïc","221.767","229.912","232.227","270.016","297.837","","",""
3,"12. la Marina del Prat Vermell - Zona Franca","--","--","--","--","--","","",""
3,"13. la Marina de Port","262.529","279.081","298.856","314.469","354.241","","",""
3,"14. la Font de la Guatlla","257.737","275.932","302.533","312.031","351.856","","",""
3,"15. Hostafrancs","239.176","251.543","265.842","297.937","331.213","","",""
3,"16. la Bordeta","233.361","264.983","265.075","302.322","334.715","","",""
3,"17. Sants - Badal","242.361","263.547","275.063","300.624","335.814","","",""
3,"18. Sants","267.502","261.086","279.252","306.148","337.654","","",""
4,"19. les Corts","440.578","460.359","428.677","473.833","457.750","","",""
4,"20. la Maternitat i Sant Ramon","379.352","409.351","426.305","469.421","455.483","","",""
4,"21. Pedralbes","1.055.776","722.627","672.050","703.144","702.191","","",""
5,"22. Vallvidrera, el Tibidabo i les Planes","729.465","709.638","729.886","713.281","566.104","","",""
5,"23. Sarrià","750.074","747.942","687.405","684.680","703.623","","",""
5,"24. les Tres Torres","989.115","1.008.620","988.339","1.012.598","1.003.422","","",""
5,"25. Sant Gervasi - la Bonanova","824.155","782.472","720.832","726.935","765.001","","",""
5,"26. Sant Gervasi - Galvany","793.875","795.482","769.602","778.335","773.954","","",""
5,"27. el Putxet i el Farró","526.877","557.314","532.969","556.111","577.281","","",""
6,"28. Vallcarca i els Penitents","444.842","332.132","352.950","379.221","387.547","","",""
6,"29. el Coll","276.113","303.500","302.363","307.573","333.513","","",""
6,"30. la Salut","368.622","341.815","342.974","356.792","393.664","","",""
6,"31. la Vila de Gràcia","366.486","327.385","334.611","348.667","371.255","","",""
6,"32. el Camp d'en Grassot i Gràcia Nova","317.206","333.739","337.849","351.172","392.878","","",""
7,"33. el Baix Guinardó","292.945","310.751","306.959","337.499","350.006","","",""
7,"34. Can Baró","229.455","239.963","265.700","294.335","289.514","","",""
7,"35. el Guinardó","273.495","269.734","288.585","316.285","334.655","","",""
7,"36. la Font d'en Fargues","379.245","307.438","314.484","340.997","350.844","","",""
7,"37. el Carmel","195.440","208.153","217.071","245.455","265.787","","",""
7,"38. la Teixonera","228.997","226.888","237.914","262.469","272.975","","",""
7,"39. Sant Genís dels Agudells","260.325","242.589","242.329","275.326","287.333","","",""
7,"40. Montbau","226.937","245.523","247.066","289.499","316.940","","",""
7,"41. la Vall d'Hebron","323.072","325.907","318.311","317.153","339.126","","",""
7,"42. la Clota","--","--","--","--","--","","",""
7,"43. Horta","268.473","250.020","265.372","290.324","308.515","","",""
8,"44. Vilapicina i la Torre Llobeta","233.733","240.662","253.396","282.671","318.254","","",""
8,"45. Porta","210.882","230.230","239.281","272.808","295.097","","",""
8,"46. el Turó de la Peira","173.195","200.682","207.627","239.279","267.148","","",""
8,"47. Can Peguera","--","--","--","--","--","","",""
8,"48. la Guineueta","212.954","224.122","244.962","276.346","283.565","","",""
8,"49. Canyelles","223.311","238.718","235.998","269.520","302.415","","",""
8,"50. les Roquetes","158.171","176.093","188.311","217.844","245.375","","",""
8,"51. Verdun","182.611","185.081","190.013","216.806","243.568","","",""
8,"52. la Prosperitat","193.524","203.066","215.608","247.540","273.580","","",""
8,"53. la Trinitat Nova","135.683","155.495","182.472","199.357","233.089","","",""
8,"54. Torre Baró","222.548","193.183","231.422","249.331","232.772","","",""
8,"55. Ciutat Meridiana","128.492","146.733","179.913","217.291","232.856","","",""
8,"56. Vallbona","--","--","--","--","--","","",""
9,"57. la Trinitat Vella","182.390","186.565","224.037","250.711","272.569","","",""
9,"58. Baró de Viver","146.575","172.770","206.136","240.287","201.654","","",""
9,"59. el Bon Pastor","224.696","242.758","255.973","277.786","318.731","","",""
9,"60. Sant Andreu","261.623","262.018","287.924","311.343","343.488","","",""
9,"61. la Sagrera","250.524","270.468","275.529","303.426","344.892","","",""
9,"62. el Congrés i els Indians","239.770","248.036","256.615","292.076","333.264","","",""
9,"63. Navas","249.767","275.918","294.854","323.452","364.892","","",""
10,"64. el Camp de l'Arpa del Clot","263.715","279.024","298.547","326.826","363.093","","",""
10,"65. el Clot","260.315","294.300","298.720","317.200","348.398","","",""
10,"66. el Parc i la Llacuna del Poblenou","298.280","328.291","367.644","382.610","396.047","","",""
10,"67. la Vila Olímpica del Poblenou","530.659","439.923","461.109","457.303","489.475","","",""
10,"68. el Poblenou","332.358","318.972","323.815","363.372","388.868","","",""
