"﻿""CODI""","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-001","porta principal Zoo (Wellington)","C WELLINGTON","21.I",432267.789812484,4582117.33872992,41.387734642,2.189874956
"01-004","Sant Carles","C COMTE DE SANTA CLARA","11",432182.782442075,4581164.50791198,41.379145587,2.18896495
"01-005","C. Carbonell","C CARBONELL","9",432076.45429936604,4581430.61912623,41.381533411999996,2.187663654
"01-006","Balboa","C BALBOA","9",432109.47487621295,4581499.83898236,41.382159643,2.188050773
"01-007","Ocata","C MARQUESA","13",431886.35566978797,4581649.64090218,41.38349001,2.185365757
"01-008","costat llac","PARC CIUTADELLA","20.I",432013.03051758296,4582261.8508803,41.389014730999996,2.18681193
"01-009","davant cascada","PG JOAQUIM RENART","20-10",431939.55070862296,4582301.91149801,41.389369332,2.185928626
"01-011","entre Hivernacle i museu","PG PICASSO","12.I",431788.32892676204,4582098.18233162,41.387521591,2.184142978
"01-013","Magdalenes","C CAPELLANS","20-18",430985.47595726297,4581870.74806466,41.385404679000004,2.174567181
"01-015","biblioteca","PAS INSTITUT ESCOLA","16.I",432031.81950676604,4582125.03052869,41.387784016,2.1870519930000003
"01-016","","PL DUC DE MEDINACELI","1-1.B",431322.60056949704,4581092.98431875,41.378428436,2.178687034
"01-017","Santa Madrona","C MONTSERRAT","12-14",431045.678783949,4580914.32614256,41.37679563,2.175395981
"01-018","Hotel Rivoli","C LA RAMBLA","128",430691.52445520397,4581732.96008066,41.384138393,2.171067554
"01-019","magatzems Sepu","C LA RAMBLA","120",430722.414002023,4581667.02974578,41.38354724,2.171444495
"01-022","Salvador Seguí","PL SALVADOR SEGUÍ","16-17",430670.450007958,4581151.93935043,41.378903500999996,2.170882002
"01-023","Peu de la Creu","C PEU DE LA CREU","32",430285.160829166,4581338.60255584,41.380551429,2.16625329
"01-026","Dames","C DAMES","6",431701.24553481204,4581669.51233477,41.383653293,2.183149829
"01-027","Mestrança / Meer","C MEER","18",432261.071887389,4581075.56718215,41.378351116,2.189911075
"01-031","","PG PICASSO","44-42",431889.43756586,4581898.55126027,41.385732138,2.1853746309999997
"01-032","Fusteria","PL ANTONIO LOPEZ","1",431550.29333487706,4581410.66308133,41.381309081,2.181373864
"01-033","Comerç","PLTA COMERÇ","4",431544.060388328,4582340.13455145,41.389680033000005,2.1811943069999997
"01-034","Pons i Clerch, Pl","PL PONS I CLERCH","3",431596.508035469,4582019.89366462,41.386800179,2.181857736
"01-037","Reina Amalia","C REINA AMALIA","33",430370.25768633897,4580907.55125027,41.376676451,2.167320415
"01-038","Rda. Sant Pau","C LLEIALTAT","24-16",430289.11739071703,4580885.19183085,41.376468042,2.166352755
"01-039","Paral·lel","C ARC DEL TEATRE","64-62",430821.576956506,4580719.40754124,41.375020821,2.172738527
"01-040","davant Parlament","PAS INSTITUT ESCOLA","18.I",432165.24948775704,4582095.42947291,41.387528671,2.188651072
"01-044","C. Judici","C JUDICI","1",432177.98015193,4580863.95748603,41.376438201999996,2.188941156
"01-045","Trafalgar","C MENDEZ NUÑEZ","15",431232.99015909,4582373.22695779,41.389951552,2.177470187
"01-046","Tapineria","PL RAMON BERENGUER EL GRAN","2",431227.715568932,4581770.33607607,41.384521043,2.177475545
"01-051","Roviralta / font Canaletes","C LA RAMBLA","131",430617.92520386,4581846.47081179,41.385154405,2.170174394
"01-052","Santa Anna","C SANTA ANNA","39",430793.18626289297,4581950.11964259,41.386103035,2.172258506
"01-053","centre plaça","PL SANT AGUSTI VELL","5",431487.948811547,4582144.08467677,41.387909492,2.180545392
"01-054","centre plaça","PL BARCELONETA","4",432113.45284471795,4581231.6085403,41.379744099,2.188128392
"01-055","Hospital","PL PEDRO","9",430264.469915,4581222.50253479,41.379503959000004,2.1660192240000002
"01-057","centre plaça","PL SANT PERE","15-16",431357.629973528,4582323.46593786,41.389514016,2.178966509
"01-058","davant nº6 C/ Baix de Sant Pere","C BASSES DE SANT PERE","8",431450.539234985,4582207.40505689,41.388476613,2.180090825
"01-061","Estafeta Correos","PL BONSUCCES","2.B",430570.99409379,4581709.96095858,41.383920855,2.169628786
"01-062","Paral·lel","C NOU DE LA RAMBLA","108",430618.48676239396,4580735.26910465,41.375146198,2.170308327
"01-063","Museu de Cera","PTGE BANCA","4",431157.829206874,4580947.15534321,41.377100915999996,2.1767332919999998
"01-064","Reial, Pl","C LA RAMBLA","54",430965.111332503,4581266.23729313,41.379958284000004,2.17439251
"01-065","centre plaça","PL TRAGINERS","3",431422.393878671,4581508.26419989,41.382177256,2.179833351
"01-066","Ciutat","PL REGOMIR","1",431325.273303867,4581452.37484994,41.381665592,2.178678268
"01-067","","C BOT","23-25",430764.724869302,4581772.53958667,41.384501177,2.171938424
"01-068","Flassaders","PG BORN","19",431673.576456525,4581796.44273883,41.38479417,2.182804626
"01-070","Carders / Boira","PL SANT AGUSTI VELL","17",431492.988589053,4582113.78459227,41.387637018,2.180609092
"01-074","Valldonzella","C JOAQUIN COSTA","33.B",430178.812966623,4581641.51382642,41.383270431999996,2.1649466619999997
"01-075","Ferlandina","C LLEO","1.B",430195.251779718,4581481.99345735,41.38183511,2.165161625
"01-077","Moll","PLA MIQUEL TARRADELL","50-51",432095.970703655,4580953.27824479,41.377235775,2.187950523
"01-078","Egipciaques","C CARME","51",430489.40180392703,4581425.24114101,41.381349426,2.168685702
"01-079","Comerç","PL CANONGE COLOM","61",430663.401427306,4581340.19969242,41.380598498000005,2.170776177
"01-082","","C NOU DE LA RAMBLA","48",430819.12904615,4580995.0179831,41.377502953000004,2.172677801
"01-083","Penedides / Santa Margarida","C UNIO","32",430838.400428472,4581173.05811026,41.379108165,2.172887924
"01-084","","C VERDAGUER I CALLIS","12",431103.317542094,4582055.29745423,41.387076961,2.175955472
"01-085","","C MESTRES CASALS MARTORELL","27",431277.258146005,4582099.36620414,41.387488754,2.178030698
"01-087","La Rambla, 80","C LA RAMBLA","3",430892.152267111,4581404.11805725,41.381193872,2.173504336
"01-089","Av. Portal de lÀngel","C CUCURULLA","6",430953.47516925,4581773.5681584,41.384526663,2.174195556
"01-091","Lledo / Sant Just","PL SANT JUST","4.B",431310.154312502,4581588.20517266,41.382887686,2.178482072
"01-092","Boixadors","PL SANTA MARIA","16",431569.905188026,4581650.58330062,41.383471643,2.181581295
"01-093","Floristes Rambles","C FLORISTES DE LA RAMBLA","8.B",430609.45213492296,4581444.33026067,41.381531719,2.170119117
"01-094","","PL SANT MIQUEL","2",431170.42337352,4581493.0660854,41.382018854,2.176821887
"01-095","Moll","PG JOAN DE BORBO COMTE DE BARCELONA","40-41",432072.19142463,4581053.03857838,41.378132284,2.1876549990000003
"01-096","Central","PG JOAN DE BORBO COMTE DE BARCELONA","2-2.A",431980.43398494896,4581408.74982,41.381328329,2.186517858
"01-097","Moll","PG JOAN DE BORBO COMTE DE BARCELONA","21",432024.512593206,4581216.57919096,41.379601224,2.187066522
"01-099","Interior Parc Zoologic","PG CIRCUMVAL·LACIÓ","42-2",432217.478092932,4581901.26877998,41.385784320999996,2.189297425
