"﻿""CODI""","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-001","01-001. Font d'Emili Vendrell","Plaça Emili Vendrell - Joaquim Costa, 7",430338.261615725,4581431.29229541,41.381390855,2.166877623
"01-002","01-002. Font del Vell","Plaça de la Mercè",431375.58120004,4581165.20402824,41.379083419000004,2.17931239
"01-003","01-003. Font del Geni Català","Pla de Palau - Passeig de Colom, 1",431729.25486859295,4581576.13197945,41.382814619,2.183495308
"01-005","01-005. Font del Doctor Fleming","Jardins del Doctor Fleming - Carme, 43",430566.172127537,4581452.1806006,41.381598691,2.16960066
"01-006","01-006. Plaça Sant Felip Neri","Plaça Sant Felip Neri",431027.114310691,4581645.58740468,41.383380295,2.175090769
"01-007","01-007. Monument a l'Almirall Galceran Marquet","Plaça Duc de Medinaceli",431345.870514866,4581081.05412413,41.37832297,2.178966644
"01-008","01-008. Gerro dels Nens - Parc de la Ciutadella","Parc de la Ciutadella - Hivernacle",431777.759431409,4582166.73251653,41.388138106999996,2.184008852
"01-009","01-009. Dama del Paraigües - Parc de la Ciutadella","Parc de la Ciutadella - Zoo",432227.227917862,4581876.2486678,41.385559793,2.1894168240000003
"01-010","01-010. Gran Llac - Parc de la Ciutadella","Parc de la Ciutadella",432031.16000330396,4582190.50063387,41.388373631,2.18703676
"01-012","01-012. Gran Cascada - Parc de la Ciutadella","Parc de la Ciutadella",431990.61087743205,4582313.75112945,41.389480287,2.186537968
"01-013","01-013. Font de les Tres Gràcies","Plaça Reial",431038.241555457,4581280.68676122,41.380094697,2.175265364
"01-014","01-014. Monument a Picasso","Passeig Picasso",431841.698230387,4581995.7017706,41.386603101999995,2.1847927780000003
"01-015","01-015. Jardins de Rubió i Lluch - Biblioteca Cat","Jardins de Rubió i Lluch - Hospital, 56",430580.82173142297,4581397.0604052,41.381103504,2.169782159
"01-016","01-016. La Cigonya i la Guineu - Parc Ciutadella","Parc de la Ciutadella - Jardins de Fonseré i Mestre",431913.97813097294,4581967.93118066,41.386359101,2.185660319
"01-017","01-017. Monument del Centenari - Parc Ciutadella","Parc de la Ciutadella - Passeig Joaquim Renart",431820.490295569,4582271.75235353,41.389087614,2.184508077
"01-018","01-018. Parc de les Cascades","Avinguda del Litoral",432603.498890515,4581927.86589735,41.386056308,2.19391097
"01-019","01-019. Font dels Tres Dragons - Parc de la Ciutad","Parc de la Ciutadella - Museu de Zoologia",431755.699726195,4582210.00274977,41.388525958,2.183740152
"01-020","01-020. Homenatge a Mari Santpere","Rambla, 8 - Portal de Santa Madrona",431130.869182474,4580949.43555099,41.377119146,2.176410657
"01-021","01-021. Homenatge a Carmen Amaya","Plaça de Brugada - Sant Carles, 44",432466.893412659,4581234.55586751,41.379800386999996,2.192354541
