"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Regim_propietat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Horitzontal",41
2020,1,"Ciutat Vella",1,"el Raval",1,"Vertical",34
2020,1,"Ciutat Vella",1,"el Raval",2,"Horitzontal",41
2020,1,"Ciutat Vella",1,"el Raval",2,"Vertical",26
2020,1,"Ciutat Vella",1,"el Raval",3,"Horitzontal",38
2020,1,"Ciutat Vella",1,"el Raval",3,"Vertical",21
2020,1,"Ciutat Vella",1,"el Raval",4,"Horitzontal",67
2020,1,"Ciutat Vella",1,"el Raval",4,"Vertical",60
2020,1,"Ciutat Vella",1,"el Raval",5,"Horitzontal",82
2020,1,"Ciutat Vella",1,"el Raval",5,"Vertical",55
2020,1,"Ciutat Vella",1,"el Raval",6,"Horitzontal",52
2020,1,"Ciutat Vella",1,"el Raval",6,"Vertical",55
2020,1,"Ciutat Vella",1,"el Raval",7,"Horitzontal",45
2020,1,"Ciutat Vella",1,"el Raval",7,"Vertical",24
2020,1,"Ciutat Vella",1,"el Raval",8,"Horitzontal",67
2020,1,"Ciutat Vella",1,"el Raval",8,"Vertical",30
2020,1,"Ciutat Vella",1,"el Raval",9,"Horitzontal",49
2020,1,"Ciutat Vella",1,"el Raval",9,"Vertical",16
2020,1,"Ciutat Vella",1,"el Raval",10,"Horitzontal",61
2020,1,"Ciutat Vella",1,"el Raval",10,"Vertical",19
2020,1,"Ciutat Vella",1,"el Raval",11,"Horitzontal",96
2020,1,"Ciutat Vella",1,"el Raval",11,"Vertical",45
2020,1,"Ciutat Vella",1,"el Raval",12,"Horitzontal",64
2020,1,"Ciutat Vella",1,"el Raval",12,"Vertical",28
2020,1,"Ciutat Vella",1,"el Raval",13,"Horitzontal",25
2020,1,"Ciutat Vella",1,"el Raval",13,"Vertical",7
2020,1,"Ciutat Vella",1,"el Raval",14,"Horitzontal",45
2020,1,"Ciutat Vella",1,"el Raval",14,"Vertical",18
2020,1,"Ciutat Vella",1,"el Raval",15,"Horitzontal",46
2020,1,"Ciutat Vella",1,"el Raval",15,"Vertical",23
2020,1,"Ciutat Vella",1,"el Raval",16,"Horitzontal",55
2020,1,"Ciutat Vella",1,"el Raval",16,"Vertical",32
2020,1,"Ciutat Vella",1,"el Raval",17,"Horitzontal",56
2020,1,"Ciutat Vella",1,"el Raval",17,"Vertical",25
2020,1,"Ciutat Vella",1,"el Raval",18,"Horitzontal",33
2020,1,"Ciutat Vella",1,"el Raval",18,"Vertical",27
2020,1,"Ciutat Vella",1,"el Raval",19,"Horitzontal",91
2020,1,"Ciutat Vella",1,"el Raval",19,"Vertical",97
2020,1,"Ciutat Vella",1,"el Raval",20,"Horitzontal",69
2020,1,"Ciutat Vella",1,"el Raval",20,"Vertical",71
2020,1,"Ciutat Vella",1,"el Raval",21,"Horitzontal",82
