"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Any_construccio","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Abans de 1901",194
2020,1,"Ciutat Vella",1,"el Raval",1,"1901 - 1940",90
2020,1,"Ciutat Vella",1,"el Raval",1,"1941 - 1950",103
2020,1,"Ciutat Vella",1,"el Raval",1,"1951 - 1960",59
2020,1,"Ciutat Vella",1,"el Raval",1,"1961 - 1970",31
2020,1,"Ciutat Vella",1,"el Raval",1,"1971 - 1980",151
2020,1,"Ciutat Vella",1,"el Raval",1,"1981 - 1990",54
2020,1,"Ciutat Vella",1,"el Raval",1,"1991 - 2000",129
2020,1,"Ciutat Vella",1,"el Raval",1,"A partir del 2016",4
2020,1,"Ciutat Vella",1,"el Raval",2,"Abans de 1901",442
2020,1,"Ciutat Vella",1,"el Raval",2,"1901 - 1940",121
2020,1,"Ciutat Vella",1,"el Raval",2,"1951 - 1960",2
2020,1,"Ciutat Vella",1,"el Raval",2,"1981 - 1990",48
2020,1,"Ciutat Vella",1,"el Raval",2,"1991 - 2000",36
2020,1,"Ciutat Vella",1,"el Raval",2,"2001 - 2005",64
2020,1,"Ciutat Vella",1,"el Raval",3,"Abans de 1901",520
2020,1,"Ciutat Vella",1,"el Raval",3,"1941 - 1950",23
2020,1,"Ciutat Vella",1,"el Raval",3,"1961 - 1970",320
2020,1,"Ciutat Vella",1,"el Raval",3,"1971 - 1980",198
2020,1,"Ciutat Vella",1,"el Raval",3,"1981 - 1990",246
2020,1,"Ciutat Vella",1,"el Raval",3,"1991 - 2000",19
2020,1,"Ciutat Vella",1,"el Raval",3,"2001 - 2005",8
2020,1,"Ciutat Vella",1,"el Raval",4,"Abans de 1901",647
2020,1,"Ciutat Vella",1,"el Raval",4,"1901 - 1940",268
2020,1,"Ciutat Vella",1,"el Raval",4,"1941 - 1950",32
2020,1,"Ciutat Vella",1,"el Raval",4,"1951 - 1960",117
2020,1,"Ciutat Vella",1,"el Raval",4,"1971 - 1980",9
2020,1,"Ciutat Vella",1,"el Raval",4,"1991 - 2000",138
2020,1,"Ciutat Vella",1,"el Raval",4,"2001 - 2005",122
2020,1,"Ciutat Vella",1,"el Raval",4,"2006 - 2010",71
2020,1,"Ciutat Vella",1,"el Raval",4,"2011 - 2015",56
2020,1,"Ciutat Vella",1,"el Raval",5,"Abans de 1901",491
2020,1,"Ciutat Vella",1,"el Raval",5,"1901 - 1940",458
2020,1,"Ciutat Vella",1,"el Raval",5,"1941 - 1950",16
2020,1,"Ciutat Vella",1,"el Raval",5,"1961 - 1970",20
2020,1,"Ciutat Vella",1,"el Raval",5,"1991 - 2000",187
2020,1,"Ciutat Vella",1,"el Raval",5,"2001 - 2005",31
2020,1,"Ciutat Vella",1,"el Raval",5,"2006 - 2010",41
2020,1,"Ciutat Vella",1,"el Raval",5,"A partir del 2016",22
2020,1,"Ciutat Vella",1,"el Raval",6,"Abans de 1901",614
2020,1,"Ciutat Vella",1,"el Raval",6,"1901 - 1940",213
2020,1,"Ciutat Vella",1,"el Raval",6,"1951 - 1960",15
2020,1,"Ciutat Vella",1,"el Raval",6,"1961 - 1970",5
2020,1,"Ciutat Vella",1,"el Raval",6,"1991 - 2000",27
2020,1,"Ciutat Vella",1,"el Raval",6,"2006 - 2010",28
2020,1,"Ciutat Vella",1,"el Raval",6,"A partir del 2016",7
2020,1,"Ciutat Vella",1,"el Raval",7,"Abans de 1901",702
2020,1,"Ciutat Vella",1,"el Raval",7,"1901 - 1940",30
2020,1,"Ciutat Vella",1,"el Raval",7,"1991 - 2000",31
2020,1,"Ciutat Vella",1,"el Raval",7,"2001 - 2005",3
2020,1,"Ciutat Vella",1,"el Raval",7,"2006 - 2010",121
2020,1,"Ciutat Vella",1,"el Raval",8,"Abans de 1901",942
2020,1,"Ciutat Vella",1,"el Raval",8,"1901 - 1940",100
2020,1,"Ciutat Vella",1,"el Raval",8,"1941 - 1950",22
2020,1,"Ciutat Vella",1,"el Raval",8,"1951 - 1960",2
2020,1,"Ciutat Vella",1,"el Raval",8,"1961 - 1970",14
2020,1,"Ciutat Vella",1,"el Raval",8,"1991 - 2000",39
2020,1,"Ciutat Vella",1,"el Raval",8,"2001 - 2005",7
2020,1,"Ciutat Vella",1,"el Raval",8,"2006 - 2010",32
2020,1,"Ciutat Vella",1,"el Raval",8,"2011 - 2015",96
2020,1,"Ciutat Vella",1,"el Raval",9,"Abans de 1901",653
2020,1,"Ciutat Vella",1,"el Raval",9,"1901 - 1940",90
2020,1,"Ciutat Vella",1,"el Raval",9,"1951 - 1960",13
2020,1,"Ciutat Vella",1,"el Raval",9,"1961 - 1970",173
2020,1,"Ciutat Vella",1,"el Raval",9,"1991 - 2000",28
2020,1,"Ciutat Vella",1,"el Raval",9,"2001 - 2005",90
2020,1,"Ciutat Vella",1,"el Raval",10,"Abans de 1901",723
2020,1,"Ciutat Vella",1,"el Raval",10,"1901 - 1940",100
2020,1,"Ciutat Vella",1,"el Raval",10,"1941 - 1950",18
2020,1,"Ciutat Vella",1,"el Raval",10,"1961 - 1970",13
2020,1,"Ciutat Vella",1,"el Raval",10,"1991 - 2000",71
2020,1,"Ciutat Vella",1,"el Raval",10,"2006 - 2010",36
2020,1,"Ciutat Vella",1,"el Raval",11,"Abans de 1901",1278
2020,1,"Ciutat Vella",1,"el Raval",11,"1901 - 1940",39
2020,1,"Ciutat Vella",1,"el Raval",11,"1941 - 1950",2
2020,1,"Ciutat Vella",1,"el Raval",11,"1961 - 1970",19
2020,1,"Ciutat Vella",1,"el Raval",11,"1971 - 1980",38
2020,1,"Ciutat Vella",1,"el Raval",11,"1981 - 1990",21
2020,1,"Ciutat Vella",1,"el Raval",11,"1991 - 2000",114
2020,1,"Ciutat Vella",1,"el Raval",11,"2001 - 2005",13
2020,1,"Ciutat Vella",1,"el Raval",11,"2006 - 2010",21
2020,1,"Ciutat Vella",1,"el Raval",12,"Abans de 1901",755
2020,1,"Ciutat Vella",1,"el Raval",12,"1901 - 1940",150
2020,1,"Ciutat Vella",1,"el Raval",12,"1941 - 1950",24
2020,1,"Ciutat Vella",1,"el Raval",12,"1971 - 1980",42
2020,1,"Ciutat Vella",1,"el Raval",12,"1981 - 1990",8
2020,1,"Ciutat Vella",1,"el Raval",12,"1991 - 2000",19
2020,1,"Ciutat Vella",1,"el Raval",12,"2001 - 2005",45
2020,1,"Ciutat Vella",1,"el Raval",12,"2006 - 2010",12
2020,1,"Ciutat Vella",1,"el Raval",13,"Abans de 1901",161
2020,1,"Ciutat Vella",1,"el Raval",13,"1901 - 1940",151
2020,1,"Ciutat Vella",1,"el Raval",13,"1941 - 1950",22
2020,1,"Ciutat Vella",1,"el Raval",13,"1951 - 1960",30
