"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Us_del_local","Superficie_m2"
2020,1,"Ciutat Vella",1,"el Raval",1,"Habitatge",62599
2020,1,"Ciutat Vella",1,"el Raval",1,"Aparcaments",3027
2020,1,"Ciutat Vella",1,"el Raval",1,"Comerç",5728
2020,1,"Ciutat Vella",1,"el Raval",1,"Magatzem",14609
2020,1,"Ciutat Vella",1,"el Raval",1,"Oficina",14433
2020,1,"Ciutat Vella",1,"el Raval",1,"Hotel",3379
2020,1,"Ciutat Vella",1,"el Raval",1,"Ensenyament",26899
2020,1,"Ciutat Vella",1,"el Raval",1,"Sanitat",2897
2020,1,"Ciutat Vella",1,"el Raval",1,"Religiós",688
2020,1,"Ciutat Vella",1,"el Raval",1,"Adm.Pública",11449
2020,1,"Ciutat Vella",1,"el Raval",1,"Espectacles",319
2020,1,"Ciutat Vella",1,"el Raval",2,"Habitatge",50667
2020,1,"Ciutat Vella",1,"el Raval",2,"Aparcaments",934
2020,1,"Ciutat Vella",1,"el Raval",2,"Comerç",5577
2020,1,"Ciutat Vella",1,"el Raval",2,"Magatzem",5803
2020,1,"Ciutat Vella",1,"el Raval",2,"Oficina",925
2020,1,"Ciutat Vella",1,"el Raval",2,"Hotel",16219
2020,1,"Ciutat Vella",1,"el Raval",2,"Ensenyament",9581
2020,1,"Ciutat Vella",1,"el Raval",2,"Esportiu",1960
2020,1,"Ciutat Vella",1,"el Raval",2,"Espectacles",5802
2020,1,"Ciutat Vella",1,"el Raval",3,"Habitatge",78614
2020,1,"Ciutat Vella",1,"el Raval",3,"Aparcaments",12149
2020,1,"Ciutat Vella",1,"el Raval",3,"Comerç",10675
2020,1,"Ciutat Vella",1,"el Raval",3,"Magatzem",5560
2020,1,"Ciutat Vella",1,"el Raval",3,"Oficina",5340
2020,1,"Ciutat Vella",1,"el Raval",3,"Hotel",12806
2020,1,"Ciutat Vella",1,"el Raval",3,"Ensenyament",135
2020,1,"Ciutat Vella",1,"el Raval",3,"Sanitat",6232
2020,1,"Ciutat Vella",1,"el Raval",3,"Esportiu",20
2020,1,"Ciutat Vella",1,"el Raval",3,"Espectacles",257
2020,1,"Ciutat Vella",1,"el Raval",3,"Altres",177
2020,1,"Ciutat Vella",1,"el Raval",4,"Habitatge",95282
2020,1,"Ciutat Vella",1,"el Raval",4,"Aparcaments",17413
2020,1,"Ciutat Vella",1,"el Raval",4,"Comerç",16993
2020,1,"Ciutat Vella",1,"el Raval",4,"Magatzem",7457
2020,1,"Ciutat Vella",1,"el Raval",4,"Oficina",5790
2020,1,"Ciutat Vella",1,"el Raval",4,"Hotel",18164
2020,1,"Ciutat Vella",1,"el Raval",4,"Ensenyament",20581
2020,1,"Ciutat Vella",1,"el Raval",4,"Esportiu",5160
2020,1,"Ciutat Vella",1,"el Raval",4,"Religiós",2216
2020,1,"Ciutat Vella",1,"el Raval",4,"Adm.Pública",5938
2020,1,"Ciutat Vella",1,"el Raval",4,"Espectacles",4372
2020,1,"Ciutat Vella",1,"el Raval",5,"Habitatge",98627
2020,1,"Ciutat Vella",1,"el Raval",5,"Aparcaments",9341
2020,1,"Ciutat Vella",1,"el Raval",5,"Comerç",21053
2020,1,"Ciutat Vella",1,"el Raval",5,"Magatzem",10386
2020,1,"Ciutat Vella",1,"el Raval",5,"Oficina",1394
2020,1,"Ciutat Vella",1,"el Raval",5,"Hotel",30969
2020,1,"Ciutat Vella",1,"el Raval",5,"Adm.Pública",3208
2020,1,"Ciutat Vella",1,"el Raval",5,"Espectacles",33993
